"","text","emotion","polarity"
"1","and weâ€™ll find out who won in","unknown","positive"
"2","your democratic nazi party cannot be trusted","unknown","positive"
"3","so did lying barr","joy","negative"
"4","its clear you didnt compose this tweet you cant put one sentence together and they usually lastminutes","joy","positive"
"5","i will vote in person thank you","unknown","positive"
"6","all lives matter human rights help for young matteo benassi for human rights from italyeuropea preroâ€","unknown","positive"
"7","as if you kno how he voted","unknown","positive"
"8","looks like your not they only sleepy democrat joe","joy","positive"
"9","youre son benefitted from your being vp we should have too but we never did","unknown","positive"
"10","voter id is required otherwise you democrats will cheatits been provenhave some integrity","unknown","positive"
"11","scared to debate","fear","negative"
"12","you would approve its only way you could beat pres trump","joy","positive"
"13","my standard reply to propaganda","unknown","negative"
"14","trouble is trump voted forpersonwomanmancameratv","unknown","neutral"
"15","i honestly cannot comprehend how a country as important as the usa can fuck up its election system so badâ€","unknown","positive"
"16","why","unknown","positive"
"17","he also runs his own twitter you should be able to as well","unknown","positive"
"18","if you are absent hence â€œabsenteeâ€ ballots","unknown","positive"
"19","right more years of donald j trump","unknown","positive"
"20","why so you can rig the election like you didlook how that worked out for yâ€™all","joy","neutral"
"21","old man youre afraid and incapable of debating trump on any live stageyour handlers let you out onceâ€","fear","negative"
"22","bsâ€ heâ€™s the presidentâ€ that doesnâ€™t mean i should try to run three sentences together that actually makes sense dementia joe","joy","negative"
"23","are you a liar or ignorant there is a difference between absentee ballots and mail in voting you know aâ€","unknown","negative"
"24","our troops vote by mail we should be able to as well","unknown","positive"
"25","absolutely","unknown","positive"
"26","it wasnt the same ballots and you know it stop it","unknown","positive"
"27","absentee voting and blanket balloting are different things you know it we know it everyone knows itâ€","unknown","neutral"
"28","correct","unknown","positive"
"29","option of absenteechoice all mail ballotsforce of gov see the diff","unknown","positive"
"30","donald trump built the wall u should too","joy","neutral"
"31","its objectively easier to tamper with mail in votes and politicians have already been involved in fraudâ€","unknown","neutral"
"32","we canâ€™t trust you or the democrats","unknown","positive"
"33","ğÿ‘€ widespread mail in ballots are a russian dream just imagine the russians flooding voting districts wiâ€","unknown","neutral"
"34","um joe absentee balloting more often than not gets overlooked when being counted which leads to underâ€","unknown","negative"
"35","must show iâ€™d or proof of citizenship","unknown","negative"
"36","donald trump doesnt pay taxesyou shouldnt too","unknown","neutral"
"37","so did a dead cat","joy","negative"
"38","totally different he voted absentee","unknown","negative"
"39","i am for you","unknown","positive"
"40","ask jerry nadler about mail in joe","unknown","negative"
"41","thats absolutely correct","unknown","positive"
"42","you must think their is an advantage for you to be pushing this vote from home agenda so hard donâ€™t prâ€","unknown","neutral"
"43","pretty sure absentee voting is allowed in allstatesthe process already exists and is blessed by alâ€","unknown","positive"
"44","my dog didnt receive one in the mail yet can you rectify this please","joy","positive"
"45","if your on the side of right why all the sneaky tricks","unknown","neutral"
"46","would like to add","joy","positive"
"47","yes and iam vote for u","unknown","positive"
"48","absentee","unknown","negative"
"49","no he didnâ€™t","unknown","positive"
"50","vote by mail should only be used as part of absentee mail process not as proposed by democrats where theâ€","unknown","negative"
"51","i understand you dont quite have all your facilities joe but voting by absentee ballot and voting by maâ€","unknown","neutral"
"52","the president has private security and so do you soo wheres mine","unknown","positive"
"53","trying to rig the election because he cannot win otherwiseget your facts straight as wellâ€","unknown","negative"
"54","donald trump is president and king you will never be president ccmaga","unknown","positive"
"55","not true liar","unknown","negative"
"56","theres already evm issues in india be careful","unknown","positive"
"57","hey yâ€™all we can both vote trump out and not elect biden at the same time mojojojo","unknown","positive"
"58","yes yesdid he was indisposed elsewhere conducting business instead of sitting in front of the tâ€","unknown","neutral"
"59","an absentee ballot which dates back to the civil war era is not the same as â€œmail in votingâ€common sâ€","anger","negative"
"60","trump isnt the problem its those who handle the ballots","unknown","neutral"
"61","donald trump spoke to chris wallace for an hour you should be able to as well","unknown","positive"
"62","exactly","unknown","positive"
"63","no he didnt he voted via absentee ballot big difference you would think that a former vice president would lnow that","unknown","negative"
"64","absentee ballot u moron","unknown","negative"
"65","collapsed distinctions again","unknown","positive"
"66","we had best protect the usps from the hands of eviltrumpism is a cancer that must be scraped outâ€","joy","positive"
"67","then why is there video of him voting in person in nyc in â€˜","unknown","positive"
"68","donâ€™t be fooled by this there is a difference between mail in voting and absentee voting mail in votingâ€","unknown","negative"
"69","whoâ€™s the damn joker posting this on his twitter you know joe canâ€™t think that well by himself","unknown","neutral"
"70","vote by mail is not the same as absentee or accommodation voting how would you stop ccp russia etc from sending in votes","unknown","negative"
"71","i am ok with voting by mail if accompanied by a photo copy of your state id or dl maybe a photo copy ofâ€","unknown","positive"
"72","liar","unknown","negative"
"73","fluffing numbers again and interfering in an election the corrupt vicious dirty democrats canâ€","unknown","negative"
"74","you are dishonest as all get outeveryone can do what trump did if they qualify stop the gas lightingâ€","sadness","negative"
