"","text","emotion","polarity"
"1","please tell us how many shares the criminal trump enterprise owns","joy","positive"
"2","like comment rt prayertachantitans prayertachantitans","joy","positive"
"3","your ag barr is as useless amp corrupt as you arerep pramila jayapal shegotitright","joy","negative"
"4","mr trump wake upmost of the comments below your tweets are nothing but cartoons and ridicule‚Ä","unknown","positive"
"5","afteryears you think you would have figured out your horrendous spray tan situation","fear","neutral"
"6","you lie to lie to cover up a lie to cover up the lie you just lied about","unknown","neutral"
"7","really my prices have gone up that‚Äôs a fact","unknown","positive"
"8","don you are delusionsomeone needs to invoke the baker act and stop you from harming people with your insanity","unknown","negative"
"9","how much on stocks have you made pushing miracle covid drugs cha ching i am sure you make plenty on stocks of all kinds","anger","positive"
"10","no president would be able to destroy as you have","unknown","neutral"
"11","most corrupt mother clucker ever to sit in the oval makes watergate look like a garden party","joy","neutral"
"12","a script i turned down was over","unknown","positive"
"13","lies lies lies","unknown","negative"
"14","yeah donald we all know youre the only president in years thats done anything shove it where th‚Ä","unknown","positive"
"15","except this isnt true you allowed americans to get drugs from overseas not control prices here‚Ä","sadness","negative"
"16","the ratio here is truly epicand so deserved","unknown","positive"
"17","every one is wrong but youcry baby","unknown","negative"
"18","i guess mr president some people are so filled with hate they can‚Äôt see that they‚Äôre ahead they‚Ä","anger","negative"
"19","idiot","unknown","negative"
"20","donald lies trump signs executive orders on drug prices policy experts say they will likely o‚Ä","unknown","neutral"
"21","repeating yourself again sounds like you have alzheimers","joy","positive"
"22","part d was not in existenceyears agou liedrugs were not covered until bush adminu‚Ä","unknown","positive"
"23","the following chart shows amonth decline of covid fatalities something the media wont show","unknown","negative"
"24","he was an amazing guy arizona mandies from covid","surprise","positive"
"25","i dont want my d reduced even with a prescriptionim fine with its current length and girth","unknown","positive"
"26","just keep up doing what you‚Äôre doing having the press conferences making sure that people k‚Ä","unknown","positive"
"27","ur press conf was a waste of timeu wiped out drug rebates which are claimed to lower drug pri‚Ä","unknown","neutral"
"28","they are telling the truth trump is getting a hard laugh while he suggest trumpcare that will not‚Ä","unknown","neutral"
"29","oh poor little donnie nobody likes him","sadness","negative"
"30","doctor retweeted by trump has warned of alien dna sex with demons","unknown","positive"
"31","u havent done crap for part d this is not a price reduction no one can use ur piece of paper‚Ä","unknown","positive"
"32","prove it","unknown","positive"
"33","mcconnells wifes family business appears on trump admins list of companies that received most p‚Ä","unknown","neutral"
"34","people are dyingdeaths in americadon‚Äôt interrupt though because grandma needs an afte‚Ä","unknown","negative"
"35","we are noticing","unknown","positive"
"36","truth","unknown","positive"
"37","am i correct wasn‚Äôt the potus allowed to break in to the news with an announceme‚Ä","unknown","neutral"
"38","more lies","unknown","negative"
"39","trump questions how fauci has a high approval rating but nobody likes me","anger","positive"
"40","dr redfern thank you for your service your resegnation is ekspected on the risolute desk byp‚Ä","unknown","positive"
"41","you are a legend in your own mind","unknown","neutral"
